Experience_Years,Education_Level,Certifications,Salary
7,4,4,23975.648232759988
20,4,1,48532.03408283382
15,3,1,28683.34715460271
11,3,2,19604.450060633513
8,1,1,7330.345153120841
7,4,0,21569.288971521517
19,1,4,17630.230570654105
11,4,3,21198.84295043936
11,4,1,36658.40591115451
4,3,0,23839.58284290742
8,3,3,21929.52712076175
3,2,4,12206.011372472722
2,3,3,16451.053413841066
12,2,0,35787.98157070194
6,2,5,21529.85305262315
2,2,5,20158.429049758903
1,2,3,10785.254845010693
12,2,2,23665.379642702963
12,1,3,24982.976180722264
17,3,1,31756.568966944174
10,2,1,8915.738105068054
16,4,5,43783.24457006478
15,3,2,25909.197933372016
15,3,0,40667.90584969751
19,2,1,34321.091076595825
12,1,5,23125.834493838476
20,2,4,36335.9628406206
3,1,5,12149.012668618921
5,4,1,17881.403403685836
19,3,1,34445.58956771432
7,4,5,31509.942803119993
9,1,0,12612.821508130193
7,1,3,11866.577010562325
18,4,1,32967.068154501845
4,1,5,19612.066563080167
14,4,5,42615.30148477423
18,3,2,35072.08347165483
9,4,3,30287.884804214344
2,3,4,13121.794856409324
20,4,0,41760.527899713954
15,1,4,28510.422062790447
7,4,3,20339.232252435097
12,1,3,10373.970328409308
8,4,3,18376.579374308873
15,4,4,30184.783630912723
3,2,3,21171.623906480647
14,1,5,34217.15865503595
17,2,4,27762.892747154336
4,1,3,9852.507883372225
18,2,5,33869.7383358348
8,3,2,21972.879054439352
4,4,3,26885.604503844475
2,1,4,7760.871438477341
6,1,1,18594.85792668599
10,4,3,26464.651212781468
4,1,1,15823.848266407134
18,1,5,27673.757226268746
12,2,2,19621.43190254973
2,1,0,19173.905839039824
10,3,2,30491.362495281508
4,3,3,7547.729399188711
14,4,1,28019.358929260554
16,1,1,31129.537530671445
15,4,4,27020.037184718865
8,3,1,25724.069977138664
14,1,4,28102.336620818747
8,1,5,14105.120531448496
16,4,0,32047.097722525155
13,3,3,15659.893508218323
18,1,4,39122.58909940031
15,4,0,29145.444944818468
13,3,1,31422.87830825755
9,4,1,28883.048048852546
15,2,0,33147.28472859993
13,1,1,18000.179558584638
1,2,5,14822.936365164802
7,3,5,26554.655215687166
9,2,0,23635.249548582877
1,2,4,19726.126030453543
12,3,4,25035.709616548076
8,4,0,19314.635340173463
11,2,4,31960.66819748903
19,4,4,26377.544390167168
17,2,5,40620.19368325603
8,4,4,24686.054547542153
3,3,2,16372.623026058223
3,2,3,10105.944393279076
1,3,1,13110.827086785122
5,2,2,23226.82935588549
10,3,4,30325.178608784237
7,3,5,26156.11890280243
9,2,0,18933.238036790463
7,2,4,10726.340165167505
9,2,5,17335.17851889356
8,1,3,14640.792580212992
12,4,4,33646.058726573036
2,1,0,8117.915987113274
1,1,5,16501.02583815079
16,3,5,35941.76432636539
5,2,5,18326.103467631427
