Experience_Years,Salary
7,15462.62911197099
20,33781.20014285411
15,20639.94939209833
11,21217.66448946012
8,14408.18012523817
7,8174.401226974378
19,27606.97802754207
11,23890.182832329847
11,16020.869804450242
4,15623.218279070032
8,-498.725520448721
3,10709.51252187612
2,5835.235341190856
12,15904.963247670663
6,10658.803882677512
2,-4537.844573004464
1,3101.6405608124405
12,19185.562857558733
12,24789.47022370758
17,20808.648908631763
10,10957.531985534062
16,19691.214782077317
15,25577.01058851037
15,22643.75554829842
19,23151.198981164805
12,19966.33716556678
20,27485.3877467402
3,11443.224952664446
5,5489.734530613238
19,24161.68926701116
7,9439.459234339212
9,6482.425259339407
7,12880.60138532288
18,25905.276360899446
4,7825.567283212305
14,18627.064333124265
18,17523.14628974793
9,11696.773386173205
2,3686.4274173661524
20,22988.613653891905
15,20193.571441669956
7,13420.254284072693
12,26830.92950605265
8,13472.889064159195
15,22287.75195361382
3,6227.7704211691635
14,10206.143923504793
17,23267.430622753916
4,8101.151049705132
18,36916.21056242643
8,11638.195176094387
4,9307.736711668062
2,5226.441151473783
6,4356.60981190234
10,20714.114072575103
4,11559.66516343387
18,28555.159735215235
12,12853.062726026306
2,12413.971554680495
10,7990.744686038595
4,10734.285469001352
14,30752.278129049893
16,17247.318374346556
15,18168.51135198614
8,13098.256825438206
14,17282.621729419003
8,4846.682844669336
16,22542.814874030137
13,13288.481431369477
18,26967.962153175908
15,16402.878828830984
13,26349.672025087697
9,9883.733538318815
15,19389.692418971623
13,22667.58608684835
1,-1954.3215821697759
7,12537.299673020647
9,20335.71377141214
1,-3837.416172806138
12,18323.16929266152
8,13899.413971242118
11,20109.114358886553
19,19615.24644560959
17,16797.716934578617
8,15209.707828084487
3,8084.92336616593
3,7852.464251729383
1,5932.241047484878
5,5599.876392107546
10,16161.268485805018
7,12865.362366493406
9,10228.24290986816
7,20728.872555723785
9,16169.164604558937
8,6643.482513986757
12,20682.768043169148
2,526.591648863393
1,8135.42301871226
16,27992.97789503702
5,4896.588408241448
